a001	ND	2	5
a002	YES	5	5
a003	ND	2	5
a004	YES	5	5
a005	YES	5	5
a006	ND	2	5
a007	YES	5	5
a008	NO	1	5
a009	ND	2	5
a010	ND	2	5
a011	YES	5	5
a012	YES	5	5
a013	YES	5	5
a014	ND	2	5
a015	YES	5	5
a016	ND	3	5
a017	ND	2	5
a018	YES	5	5
a019	ND	2	5
a020	YES	5	5
a021	ND	2	5
a022	YES	5	5
a023	YES	5	5
a024	NO	1	5
a025	ND	2	5
a026	ND	2	5
a027	NO	1	5
a028	YES	5	5
a029	YES	5	2
a030	ND	3	5
a031	NO	1	5
a032	ND	2	5
a033	NO	1	5
a034	YES	5	5
a035	YES	5	5
a036	NO	1	5
a037	NO	1	5
a038	ND	3	5
a039	YES	5	5
a040	ND	2	5
a041	ND	2	5
a042	YES	5	5
a043	YES	5	5
a044	YES	5	5
a045	YES	5	5
a046	ND	2	5
a047	ND	3	5
a048	ND	2	5
a049	YES	5	5
a050	NO	1	5
