a151	YES	5	5
a152	YES	5	5
a153	ND	2	5
a154	YES	5	5
a155	YES	5	5
a156	ND	3	5
a157	YES	5	5
a158	YES	5	5
a159	YES	5	5
a160	YES	5	5
a161	ND	3	5
a162	YES	5	5
a163	NO	1	5
a164	YES	5	5
a165	YES	5	5
a166	ND	2	5
a167	ND	2	5
a168	ND	3	5
a169	ND	2	5
a170	NO	1	5
a171	YES	5	3
a172	ND	2	5
a173	YES	5	5
a174	ND	3	5
a175	ND	3	5
a176	ND	2	5
a177	YES	5	5
a178	NO	1	5
a179	NO	1	5
a180	YES	5	4
a181	YES	5	5
a182	ND	3	5
a183	YES	5	5
a184	ND	2	5
a185	NO	1	5
a186	YES	5	5
a187	ND	3	5
a188	NO	1	5
a189	ND	4	5
a190	ND	3	5
a191	NO	1	5
a192	NO	1	5
a193	YES	5	5
a194	ND	3	5
a195	ND	2	5
a196	YES	5	5
a197	ND	2	5
a198	NO	1	5
a199	YES	5	5
a200	YES	5	5
