p1844	X	-
p1504	R	He was murdered.
p1058	X	-
p0523	N	Fighting began.
p1187	N	The vulnerability was exploited.
p0921	U	The building was acceptable to him.
p1650	R	Truman knew about the bomb.
p0350	R	He was sentenced.
p1132	R	They left.
p0322	X	-
p0429	N	He said something.
p0240	R	His contract was terminated by mutual consent.
p0909	R	The MRI scans were processed.
p1498	N	He banished the vision.
p0262	U	I caught up.
p0767	R	The mice were culled by cervical dislocation.
p1652	R	Another president attempted the approach.
p1284	R	I had kids.
p1492	N	She reached her.
p0573	R	Gamettsui was destroyed.
p1384	X	-
p0575	R	Tome was destroyed.
p1327	R	They pressed the pulse again.
p0468	R	The animals drank.
p0670	U	The action proper started.
p1647	U	He recovered.
p1705	R	They were born.
p1669	R	I met her.
p0155	R	She peeled away the little straw.
p1005	X	-
p1776	X	-
p0281	N	I figured it out.
p0320	N	Mark retaliated.
p1129	X	-
p1937	X	-
