p0626	R	The public was aware of the action.
p0323	R	She obtained the 9471 loan.
p0306	R	I realized that Heavenly Father didn't think I was damaged.
p0154	N	I made it out of the kitchen.
p0257	R	I started to wonder about Friday.
p1123	R	He left for Oskaloosa.
p0661	R	Graves dropped out on the back stretch.
p1190	R	Doctors told him the fall only resulted in minor whiplash.
p0552	U	He donated blood again.
p0848	X	-
p1147	R	He passed.
p0582	R	Media Tsuyoindaver was destroyed.
p1270	U	We went any further.
p1011	X	-
p1490	R	I was there.
p1508	U	Night fell.
p1341	X	-
p1345	R	There was a significant change in the temperature of the earth.
p0318	N	I questioned.
p1331	R	Tom got the fish close to the surface.
p0272	R	I stood safely.
p1764	X	-
p0428	R	He was intercepted again.
p0530	U	He interested a company.
p1794	R	The plate was placed in a Fluoroscan Ascent fluorometer.
p0444	N	A sound came out.
p1048	R	The AES competition concluded.
p1519	N	The queen fully appreciated it.
p0709	R	Europeans arrived in 1788.
p0571	R	Gloven was destroyed.
p1600	X	-
p0226	X	-
p1325	N	He stopped her.
p1142	N	I got there.
p0282	N	I cried.
