a101	YES	5	5
a102	YES	5	5
a103	ND	3	5
a104	ND	2	5
a105	ND	2	5
a106	YES	5	5
a107	YES	5	5
a108	YES	5	5
a109	YES	5	5
a110	NO	1	5
a111	ND	2	5
a112	ND	2	5
a113	ND	3	5
a114	ND	3	5
a115	ND	2	5
a116	NO	1	5
a117	NO	1	5
a118	ND	3	5
a119	NO	1	5
a120	ND	4	5
a121	NO	1	5
a122	ND	3	5
a123	NO	1	5
a124	NO	1	5
a125	YES	5	5
a126	YES	5	5
a127	ND	2	5
a128	ND	2	5
a129	YES	5	5
a130	YES	5	5
a131	ND	2	5
a132	NO	1	5
a133	ND	2	5
a134	ND	2	5
a135	ND	3	5
a136	YES	5	5
a137	YES	5	5
a138	ND	2	5
a139	NO	1	5
a140	ND	2	5
a141	NO	1	5
a142	YES	5	5
a143	YES	5	5
a144	ND	2	5
a145	NO	1	5
a146	ND	2	5
a147	YES	5	5
a148	NO	1	5
a149	YES	5	5
a150	YES	5	5
