p0482	X	-
p0108	R	He enlisted in the United States Navy.
p0514	X	-
p0942	R	He was captured near Parma.
p1691	R	The FCC filed its brief in this case.
p1589	X	-
p0710	R	I arrived home.
p0227	N	I had a chance to call him into the bathroom.
p0114	R	He wrote his first piece on aviation safety for Playboy.
p0463	R	He forced his left arm to work again.
p1017	U	I was sat on the ground again.
p1330	R	Ed had his opponent on the deck.
p0162	R	The worst of it started.
p0368	R	He visited Art school.
p1849	X	-
p1932	R	She died.
p0831	R	The slides were counterstained with hematoxylin.
p0284	X	-
p0583	R	Micro Tsuyoindaver was destroyed.
p0290	N	I made more promises.
p1644	R	She threw her swing.
p0580	R	Omega was destroyed.
p0236	X	-
p0296	N	Nathan argued further.
p0190	X	-
p0736	R	The noble gases were discovered.
p0313	N	I got in the way.
p0635	R	Their envelope arrived in my mailbox.
p0224	U	I turned off towards my apartment.
p1252	R	The Ottomans conquered the Balkan lands.
p0304	N	More social mistakes were made.
p0292	N	The thoughts took hold.
p0287	N	I stopped it.
p1130	R	They left.
p0175	R	The tide arrived.
