a051	ND	2	5
a052	YES	5	5
a053	NO	1	5
a054	ND	2	5
a055	ND	3	5
a056	YES	5	5
a057	YES	5	5
a058	YES	5	5
a059	ND	3	5
a060	NO	1	5
a061	ND	2	5
a062	ND	4	5
a063	ND	2	5
a064	YES	5	5
a065	YES	5	4
a066	ND	2	5
a067	NO	1	5
a068	YES	5	5
a069	ND	2	5
a070	YES	5	5
a071	YES	5	5
a072	ND	4	5
a073	YES	5	5
a074	YES	5	5
a075	ND	2	5
a076	YES	5	4
a077	YES	5	5
a078	NO	1	5
a079	ND	2	5
a080	YES	5	5
a081	ND	2	5
a082	NO	1	5
a083	ND	2	5
a084	YES	5	4
a085	NO	1	5
a086	NO	1	5
a087	YES	5	5
a088	YES	5	5
a089	ND	3	5
a090	NO	1	5
a091	ND	3	5
a092	ND	2	5
a093	YES	5	5
a094	NO	1	5
a095	ND	2	5
a096	NO	1	5
a097	NO	1	5
a098	ND	3	5
a099	YES	5	5
a100	ND	2	5
