p1485	X	-
p1366	R	The victim ran away.
p1573	R	He was able to bond out.
p1619	N	Their products had a chance to gain market share.
p0452	X	-
p1517	N	He made it downstairs.
p0617	R	He was sworn in.
p0706	R	She had to quit at Santa Fe.
p0854	R	He took it back again.
p0365	R	She violated the four person occupancy limit.
p0003	U	I was 10 cm dilated.
p0310	R	I fell asleep.
p0434	N	The man pulled the trigger.
p1400	R	People were coming out of every desolate place.
p1511	R	She deemed it ready.
p1258	R	He moved to the United States.
p1756	R	President Donald Trump came into office.
p0928	R	The judges retired to decide their fate.
p0591	R	The plaintiffs filed their petition.
p0604	R	They were prescribed PA.
p1713	R	Pacquiao counterattacked.
p1850	R	It was formally joined with the Spanish government in Manila.
p1168	X	-
p0975	R	They developed depression symptoms.
p0289	N	He got closer.
p1472	R	He expired.
p1324	R	The winter sun rose.
p0644	R	The cap was removed.
p1649	N	He got us back out of it.
p1568	N	The horns sounded for action.
p1395	U	I hit Quebec.
p1486	N	He reached the trigger.
p0722	X	-
p0195	R	They reached shore.
p1013	R	We entered the new room.
p1763	R	The recession began.
