p1884	R	He studied theology as a lay student.
p1725	R	The segments were cleared in propylene oxide.
p0095	R	The modern world infringed upon island life.
p1470	X	-
p0228	R	We headed to the dog park.
p0369	R	The seawater was delivered to the lab.
p0263	R	We parked.
p1312	R	He met them.
p1729	X	-
p0597	R	I knew what it meant.
p1387	R	Owings purchased it.
p0795	R	He was traded to Chicago.
p0300	N	He remembered his attack.
p1917	R	Maryam Rajavi spoke.
p0039	R	Female students were allowed into the hallowed grounds.
p0637	N	I exercised my option as a murderer.
p0435	N	Bodie had a chance to stop him.
p0459	R	I accepted the calling to attend rabbinical school.
p1489	R	Queen Malveria came to power.
p0278	R	I was hugging Dad.
p1090	X	-
p1293	R	Tragedy struck.
p0096	N	The wedding took place.
p0764	R	The biological bloom began.
p0092	R	It was returned to Scotland.
p1191	R	Omaha gunfire took his life.
p1044	R	Johnson passed him.
p0441	R	They got down to business.
p1662	R	She was thirty.
p0086	R	A dodgy deal led to a warrant for his arrest.
p1678	R	I hired a realtor.
p0249	U	She got too angry.
p0416	R	NEPA became effective.
p1230	R	His family was released.
p1476	R	Another bullet ripped through the panel.
